unique_id,customer_id,local_guide,date_year,text
0,394,True,2023,This store has cool merchandise. Very stylish and the staff members gives you a warm feeling that you feel appreciated and will help you with all of your needs I need to give them 10 stars! #MrAdidas
1,604,True,2022,very friendly kind people. they helped me and my wife a lot we are very happy with our shoes. not all adidas employees are kind in berlin. especially the ones in kudamm are awful stay away from those rude disrespectful ones. i will continue shopping from this store for sure thanks again you guys made my day 🙏🏻 …
2,528,True,2023,Was keen to visit hoping to find some German based originals but all in all no different to UK stores and at current exchange rate is more expensive so did not purchase anything.
3,591,True,2024,Lots of different choices ive never seen before. Definitely for adidas fans
4,336,False,2023,The person on a cash register didn’t answer my question and decided to say that the sneakers are not according to his assumption of my gender. …
5,37,True,2022,"I wanted to purchase shoes for my son, they didn't have it in store so they have helped me ordering them online and they made sure that I will receive them to my hotel. …"
6,357,True,2023,Very small shop i use it just for infos about products that i will buy online.
7,53,True,2023,Not bad
8,72,True,2023,"Great shop to go to, very helpful staff. Tried various NMDs for the right fit and ordered them online in my preferred right size and colors."
9,416,True,2024,Friendly staff
10,416,True,2024,Friendly staff
11,642,True,2022,Very friendly staff. Helped me select out the shoes too. I also went there to exchange my shoes once and they were quite helpful in that regard also.
12,17,True,2019,"The store is nice and clean, the workers are attentive but they also allow to to look for your own things without being to intense"
13,251,True,2022,This outlet has won the prestigious award for being the tiniest Adidas store anywhere globally.
14,212,True,2023,"A ok Adidas store, nice and clean"
15,421,False,2023,the socks i bought are teared. very disappointed.
16,545,False,2022,Very unfriendly staff. Wasn't served. I was left standing for several minutes
17,420,True,2021,"Quality service, nice friendly staff"
18,609,True,2021,"A smaller Adidas so less selection, so don’t come here if your after gazelle shoes"
19,316,False,2023,Great collection
20,526,True,2020,Small selection. Ignored by staff
21,650,True,2023,Nice place
22,308,True,2023,Pack your bags !!!
23,165,True,2019,Great staff and service !
24,511,True,2020,Regular sports store. Stuff nice
25,14,False,2019,Not so expensive for original shoes
26,589,True,2019,Good collection of low priced Adidas items
27,393,True,2021,👍 …
28,22,True,2023,Ok
29,583,False,2019,big flex
30,234,True,2019,The best shop
31,244,True,2021,Friendly service
32,121,True,2020,Great service.
33,418,True,2019,Top!
34,56,True,2020,Ol
35,264,False,2023,Ok
36,412,True,2019,Great service
37,288,True,2018,Boring.....
38,571,True,2019,Classic adidas shop.
39,90,True,2019,I Love adidas
40,124,True,2020,"I had an online order delivered here and picked up. The entire process was handled quickly and professionally.
And when I picked it up... never in my life had I been treated so kindly as a …"
41,337,False,2023,"When I asked if I could return a gifted shoe, the somewhat curt employee argued that they wouldn't do such 'business' with them. I further asked if it would be possible to exchange the shoe. My colleagues replied with a laugh that they …"
42,652,True,2024,Friendly team. Unobtrusive service. Bought sneakers.
43,387,True,2024,Far too little selection for Flagstore
44,125,True,2023,Mega good prices and nice staff I got -€300 for it 😅😅 But it was worth it. …
45,89,True,2023,"Cool, the new collection takes up the late 70s. Exactly my taste"
46,461,True,2023,"The price is worth it compared to those in Brazil, but even in Berlin the prices are high there."
47,550,False,2023,"Today the entire team isn't that keen on customers. At least one cashed in. If you want to see how customer orientation works, then a visit to Lacoste or Fast Forward in your house is recommended.!! BG Thomas W"
48,57,True,2023,Great advice and support with problems. I arrived with a defective item and unfortunately forgot my receipt. The team took a lot of time and exchanged the item without any problems. Thank you Adidas team. May the 4th be with you
