unique_id,customer_id,local_guide,date_year,text,text_response
0,346,True,2023,Can really find some good things here. Recommend to visit.,"Hey,

We really appreciate your feedback, and we're thrilled to hear that you had such …"
1,1641,False,2023,"Awesome place for shopping, it offers so many great choices, me and my friend had a good time there.","Hey Terri,

We are so pleased that you have chosen PUMA. Thank you for taking the time to …"
2,1934,True,2020,"The price was extremely low, especially for the articles that were reduced twice. I bought 2 pairs of shoes. 100% satisfaction. Less crowdy than at the adidas outlet, but we had fun there. Now I wear my puma sneakers each twice a week :). They are comfortable and look cute. I will definitely go there again. Maybe around Easter.",
3,42,True,2022,Great all you want when looking for sport were,
4,1828,True,2024,Puma is very nice place to work at,"Hey there, Yogesh!

We just wanted to say a big thanks for picking PUMA! Your feedback means a lot …"
5,373,True,2023,"It isn't immediately clear, but the first store front isn't the outlet. Once you walk through you're in the outlet. There are a few good deals but you have to search.",
6,1214,True,2024,"friendly stuff, good prices in ""clearance"" section)","Hey Mt. K,

Thanks a bunch for sharing your feedback with us! We're really glad to hear that …"
7,1081,True,2023,"Great place..
great prices. Good parking.","Hey there, Martin!

We just wanted to say a big thanks for picking PUMA! Your feedback means a lot …"
8,1900,True,2024,Nothing special what you don't have in City(Nbg),"Hey there,  Nenad,

We really appreciate you picking PUMA and sharing your thoughts with us. We …"
9,1205,True,2023,"Nice outlet, great offer s enjoyed the puma world","Hey there, Monika!

We just wanted to say a big thanks for picking PUMA! Your feedback means a lot …"
10,1205,True,2023,"Nice outlet, great offer s enjoyed the puma world","Hey there, Monika!

We just wanted to say a big thanks for picking PUMA! Your feedback means a lot …"
11,1782,True,2023,"Wow what a big factory outlet , it has everything which Puma has to offer. The prices are very competitive compared other stores selling Puma articles . They even have a mini basketball play area and it's cool",
12,438,True,2023,Not enough variety as I would have expected from the main factory outlet. Still found some things!,
13,41,False,2023,One of the biggest outlet of PUMA. Good offers on clearance sale products,"Hey Akshay,

We really appreciate your feedback, and we're thrilled to hear that you had such …"
14,1366,True,2019,Nice and friendly stuff. Seems that somebody know how to hiring people :) outlet is located next to Puma HQ and definitly good managed as a company showroom. Still not quite understand division on two different shops : one seems to be …,
15,563,True,2019,"The store accessability by car is great. Parking is free and size of it is decent. The store is big, has plenty of stock and it's properly organized. Most of the items have weird designs, from my perspective, so I never bought anything from there. Prices are not so low to recommend going there often.",
16,155,False,2023,"very good establishment, in good conditions and friendly treatment",
17,1614,True,2023,The sale price were amazing. I can't wait for my next trip to Herzogenaurach and the cashier were very helpful ❤️❤️,
