unique_id,customer_id,local_guide,date_year,text
0,215,True,2024,"Lovely little store well managed and staffed. You can order online and pick it up from this store.
I was highly impressed by the customer service and kind attention. The staff's …"
1,162,False,2024,"I am totally disappointed about Adidas shoes and customer service!!!

I bought a pair of shoes for 180,00€. And I told the staff that I want to take …"
2,251,True,2023,"cash register girl wants to charge me 30 cents for a paper bag to carry on my 120€ sneakers and went out of the store with my sneakers in my hand as it's a cost as she said , …"
3,167,True,2023,"Amazing sells assistants, providing positive experience although all Gazeles and adidas shoes I liked were out of stock in my size, he offered me online purchase and have it delivered to my address but as I don't live in Germany didn't proceed. However amazing polite young guy."
4,229,True,2019,The two adidas stores are very close.  One inside 1st floor of MyZeil mall and one on the street opposite to this mall.  Very easy to find them.  The shop inside mall is Adidas Original but it is small and the choice are limited.  For the …
5,165,True,2024,"Excelent store. I had read the staff was very kind and attencious and.... that is compeltely true! Very nice people, they helped me with the size (I got exact the correct size in 3 days). The price is high, as it is in any Adidas store around the world."
6,223,True,2018,Great staff with wonderful display and digital devices which help shopping experience
7,291,True,2023,"Varieties of options to choose from and located at the center of the city, along with many other stores, if you don't find what you were looking for, there is an option to check other stores just next door."
8,235,True,2023,"The saleswomen need to be more friendly, at least smile and greetings. I even bought shoes, but they acted like I didn’t exist when I walked out. Will definitely not coming back!"
9,67,False,2023,"I went to this shop to buy a company t-shirt for 27 people. We already knew that it is hard to find same tshirts for the large amounts at the day and it was a bit picky selection and requires. However, the staff there (a tall guy, i know …"
10,67,False,2023,"I went to this shop to buy a company t-shirt for 27 people. We already knew that it is hard to find same tshirts for the large amounts at the day and it was a bit picky selection and requires. However, the staff there (a tall guy, i know …"
11,296,True,2017,Good location and fairly had all new products from Adidas available there. Friendly stuffs speaks English!
12,256,False,2024,Very helpful staff
13,123,False,2016,Lovely little store well managed and staffed. Hardly you won't find what you need and even so you can order online and pick it up in place. I was highly impressed by the customer service and kind attention. Top notch store.
14,27,True,2023,"The chief of the staff very professionnal,and spoke  very fluent english because ,i dont talk enough deutsch"
15,82,True,2019,"The store is nice, well organized and positioned downtown with good access. The stock in store is not huge and feels somewhat limited. A big plus was finding the Adidas Originals pieces. Some of them look really good and I can recommend checking it out to any teenagers, young adults and any hipsters."
16,189,True,2019,"Cute store, amazing collections, prices are quite good during sales and they have a lot of choices for both men and women. Worth checking out during sales! Also the employees are pretty helpful and polite"
17,105,False,2021,Return policy is not stated anywhere and they don't except an undamaged product if it was tried out. Now I have 170€ shoes that don't fit. Maybe its the fault of the workers and not the company but its a horrible experience either way. Thanks a lot!
18,103,True,2019,One of the best shopping places in the main shopping area in Frankfurt... Very helpful and friendly staff... Excellent service... I had a nice experience buying sport outfits... You can find big sizes... Two floors for ladies and men outfits and sport shoes... It is highly recommended!!!
19,181,True,2017,"Good selection of the latest Adidas gear. They didn't have my size in the Ultra Boosts I was looking for, but they didn't offer to look for it at other locations. The staff will do their job but won't provide great service."
