unique_id,customer_id,local_guide,date_year,text
0,668,True,2023,"A cool place if you are looking for sports clothes, shoes, equipment.
I would say the prices are not like super low but you will find a lot of things for all kind of sports. …"
1,825,True,2024,"Great place, friendly staff, rating is because the staff behind the cafe counter are so grumpy and lack any sort of emotion, it’s like they are forced to be there.  You are in a customer facing role if you don’t like seeing customers maybe you need a different role.  This is not the first time !"
2,831,True,2023,The offers are good but was super crowded when we arrived. Some areas were quite messy and the whole place felt a bit chaotic. Need a bit of patience to navigate the whole shopping experience. I was trying to get a pair of shoes and it was …
3,827,True,2023,It's a huge store with always good deals to find. You can find almost everything on discount there. It has a huge parking as well. Terrex and other premium products too on discount. You can visit it from time to time to see if you like something
4,862,True,2023,"This outlet has a broad variety of sneakers and other sport equipment. It is very close to the highway, so you won't lose much time taking this turn. Regarding the prices, i could say that there are discounts, but not much. I guess its cheaper than in the local store, but yiu have to check it on your own. Good luck"
5,569,True,2024,"Huge, a great selection. Great prices."
6,194,True,2023,Excellent prices!
7,47,True,2023,"Best outlet i have ever seen
Good prices almost everything is %70
Dont miss the chance and go there if u can"
8,47,True,2023,"Best outlet i have ever seen
Good prices almost everything is %70
Dont miss the chance and go there if u can"
9,734,True,2023,You get best deals here....unmatched across any other location or store....
10,952,True,2023,There are two stores nearby. One is the brand store which has newer products and doesn't have any huge discounts and the other is the outlet with huge discounts on most products!
11,747,True,2023,Everything you need from Adidas under one roof! Absolutely loved the place!
12,908,False,2023,Great place to shop for decent prices.
13,315,True,2023,Incredible store with really good offers. Visiting it is a must.
14,204,True,2023,"One of biggest outlet, depends your budget."
15,752,True,2023,Store maintenance is not good. Very difficult to find items
16,957,True,2023,"Always and forever!
Amazing prices, quality, variety,
for our kids and for us!
I definitely recommend it!"
17,1060,True,2023,"Shopping area is so huge, more products on the shelves. You should check your tax refund paper, keep look at on company stamp otherwise you cannot get any penny at airport."
18,808,True,2024,Collection great and reasonable pricing
19,1029,True,2019,Not cheap for Indians here!! But local people get a lot of discounts...
20,959,True,2023,"Its the factory outlet of Adidas's global headquarters , there is a good collection of Adidas and prices are very cheap during sale and comparable even during normal sales . Workers are very friendly and quality of all items are really good."
21,801,True,2023,I see with my Wife Addidas Head Office my wife's Cousin working in Addidas since last more than 10 years. H Office is very big we see all the buildings. All facilities given to the employee who work with this organisation Swimming beach …
22,226,True,2023,Loved Loved the shopping experience! So many things on sale. Great variety too!  Amazing stuff... got a great Stella McCartney bag at an amazing bargain.
23,1003,True,2023,not a lot in my size unfortunately for me. (large) But well laid out store with friendly staff
24,287,True,2022,"Outlet store’s product quality is very low. Prices are average and some of them are reasonable but the quality is not good.
Location is so ridicilous, if you don’t have a car it takes minimum one and a half hour to get there. Waste of time, doesn’t worth it."
25,869,True,2023,Loads of options and reduced prices as well.
26,445,True,2021,"Big selection, but the prices are high."
27,713,False,2015,"On a normal non sales day the goods are over priced and are limited in sizes, I would not recommend the store to my friends. …"
28,1048,False,2022,Staff named Bianca is very rude and careless. I returned a few clothes at infopoint and Bianca work there. She said to me coldly that I am not allowed to go inside to buy something else. Is this rule made by Bianca or adidas company? Too …
