unique_id,customer_id,local_guide,date_year,text
0,1375,True,2024,This pair of Adidas D-Rose was a blast of a shoe. Very fast and very lightweight with a nice bounce and explosiveness such as Derrick Rose style of playing being Russell Westbrook before Westbrook. Adidas is a legendary sport brand not …
1,2112,True,2023,"Just Amazing. You can find very high quality goods with 20-50 % discount.

Highly recommend."
2,2057,True,2023,easily accessible through 200 bus from bahnhof. plan your return wisely as there are only 1 bus in an hour .
3,1298,True,2023,What an extravagant location new fixtures almost weekly and all the latest trending merchandise. Full staff energy and flexible to all your shopping needs! I call this my second home #MrAdidas
4,1402,True,2023,Honestly this is heartbreaking for me because since I could walk I was wearing Adidas gear. From my first clothes to my first sports gear I was an Adidas fan. But this is just unacceptable. I spent roughly $300 on shoes that started to fall …
5,1484,True,2023,Less crowded than the outlet
6,1333,True,2021,"When you come to the firm's HQ shop, you expect to talk to people who are knowledgeable about the shows the company makes and have at least a treadmill or something where you can try the shoes before you part with €200. Don't get me wrong, …"
7,152,False,2023,"very large store with a giant variety for all kinds of people, highly recommended"
8,17,True,2021,Big facility with a wide collection. Prices are very less as its a factory outlet. Definitely worth shopping here.
9,1174,True,2023,"I don't understand this place. I came to the home of adidas to buy their newly released shoe, just to find out that their flagship store did not carry it nor did they know when it would be available in the store. So what's the point? The …"
10,1174,True,2023,"I don't understand this place. I came to the home of adidas to buy their newly released shoe, just to find out that their flagship store did not carry it nor did they know when it would be available in the store. So what's the point? The …"
11,2012,True,2023,Good service and really good prices
12,691,True,2023,"What you need is a pocket full of money, because everything in it is worth buying.
In addition to shopping, there are areas for children's entertainment and a …"
13,962,True,2023,For the number one sports brand insanely disappointed - don’t recommending to come from a long distance in here.
14,2052,True,2020,Was great a few years ago but not so much now.no longer a real outlet as prices are high and stock is low
15,1282,True,2023,"Great place to buy Adidas, prices are 👌, and large variety. Sizes might be a challenge, but it's worth a try.
A myst visit place if you visiting that side bayern. …"
16,1500,True,2024,"All Adidas products, best prices best offer and best staff"
17,663,True,2023,"Great store. Every time we pass here when we drive by. Good discounts, don’t forget also to go to Puma!"
18,1123,True,2018,Good prices and some products that can not be found in elsewhere.
19,1203,True,2020,"Have all, I like..."
