unique_id,customer_id,local_guide,date_year,text,store_name,company_name,text_response,label_name,confidence_score,label_id,topic,title,repr_docs,keywords
16,545,False,2022,Very unfriendly staff. Wasn't served. I was left standing for several minutes,Berlin Store Originals,adidas,,negative,0.6717948317527771,-1,0,Unfriendly Service Experiences,"['Great place, friendly staff, rating is because the staff behind the cafe counter are so grumpy and lack any sort of emotion, it’s like they are forced to be there.  You are in a customer facing role if you don’t like seeing customers maybe you need a different role.  This is not the first time !', 'Not recommended, unfriendly staff no time to answer questions.', 'Arrogant staff, very unfriendly and not interested in the customer. Never seen something like that before...', ""Very unfriendly staff just walk around and care more about themselves than about the guests. Starts with greeting very unfriendly the security guard very aggressive immediately gets a pulse and becomes very personal and private sorry that's …"", 'The service was once very condescending... Not very customer friendly.', 'No hello, no thank you, no please. Instead, arrogant and unmotivated employees. Never again!', 'Rude to the point of not being possible anymore!', 'Really bad service and very disrespectful staff', 'What a bad store....Rude staff etc. Never again', ""Really, really unfriendly employee! You don't feel like going in there anymore. Doesn't work at all.""]","['unfriendly', 'complaint', 'customer', 'customers', 'rude', 'impolite', 'arrogant', 'checkout', 'employee', 'service']"
18,609,True,2021,"A smaller Adidas so less selection, so don’t come here if your after gazelle shoes",Berlin Store Originals,adidas,,negative,0.444314032793045,-1,2,Adidas Store Selection & Pricing,"['Small and not necessary for an overview of the Adidas range. The competence of the staff is left to the luck of the hit.', 'Unfortunately, most of the bargains that were still available “back then” are history - the selection overall is rather poor. The “Boosts” running shoes, which are currently extremely popular, are available in 328 different designs and …', ""For an adidas store, the variety of shoes on offer is somehow not great. It's actually a shame, these days people seem to just follow the trend of the masses."", ""First of all, Adidas Neo hasn't been here for two years now.\nSecondly, the assortment is poor. Wasted time."", 'If you buy in originals branch you cannot replace at normal adidas, so basically same brand has in the next address different shop . Not very efficient for all costumers  i would say', 'Rather uninterested sellers, hardly any shoes in larger sizes in stock. I expected more from an adidas store.', 'Finally an Adidas store with a sale again ☀️😎\nUnfortunately they have become rare; there are no more in Cologne. …', 'Unfortunately there is little selection in the store, which is really disappointing.\nThe big plus, however, is Click & Collect via the Adidas website.', ""You have to be lucky to find the right one for you at a great price. Given that this is Adidas' home, it's rather disappointing. Discontinued products at prices that are cheaper elsewhere. You won't find any new things here. Adidas doesn't …"", ""I've been to the Adidas outlet in Herzogenaurach several times, but so far I've never found anything for me. The prices are high. You can sometimes get the Adidas stuff elsewhere. Lots of choice if you're looking for something urgently""]","['adidas', 'retailers', 'clothing', 'shoes', 'outlet', 'brand', 'used', 'store', 'sizes', 'looks']"
20,526,True,2020,Small selection. Ignored by staff,Berlin Store Originals,adidas,,negative,0.5501136779785156,-1,4,Store Disorganization & Pricing,"['Small selection. Ignored by staff', 'Great shop. Unfortunately, the bargains, special offers and individual parts are sorted in a very confusing manner.', 'There seems to be a lot of everything, but it’s hard to find what you need. I couldn’t find one thing I wanted to buy, it wasn’t there...', 'A nice store in itself. However, we were a little disappointed by the mess. There was hardly anything going on. The lady at the checkout was probably the only one working. Others just chatted or disappeared into the camp in groups of three.', ""Well, there is a large selection but not a nice design and size is also a matter of luck. Prices aren't like that either."", 'Large selection. But the mega promotions are not there.', ""Even though it's so big, I was a little disappointed with the selection."", 'Very large store. Short waiting time despite many customers. Unfortunately, the exact data is missing for many articles, such as: Leather or synthetic', 'Large outlet, large selection, but confusing. The prices are sometimes very high and I hardly found anything for myself. Unfortunately disappointing!', 'Of course there is a large selection but for people with small budgets it is not possible to shop there.']","['bargains', 'expensive', 'discounts', 'lots', 'assortment', 'store', 'choice', 'prices', 'pricing', 'lot']"
73,400,False,2020,"The female employees are totally unfriendly, laugh fakely in your face, once the question has been answered, they turn around and immediately pull the wool over their eyes, why would you do something like that????",Berlin Store Originals,adidas,,negative,0.822176992893219,-1,0,Unfriendly Service Experiences,"['Great place, friendly staff, rating is because the staff behind the cafe counter are so grumpy and lack any sort of emotion, it’s like they are forced to be there.  You are in a customer facing role if you don’t like seeing customers maybe you need a different role.  This is not the first time !', 'Not recommended, unfriendly staff no time to answer questions.', 'Arrogant staff, very unfriendly and not interested in the customer. Never seen something like that before...', ""Very unfriendly staff just walk around and care more about themselves than about the guests. Starts with greeting very unfriendly the security guard very aggressive immediately gets a pulse and becomes very personal and private sorry that's …"", 'The service was once very condescending... Not very customer friendly.', 'No hello, no thank you, no please. Instead, arrogant and unmotivated employees. Never again!', 'Rude to the point of not being possible anymore!', 'Really bad service and very disrespectful staff', 'What a bad store....Rude staff etc. Never again', ""Really, really unfriendly employee! You don't feel like going in there anymore. Doesn't work at all.""]","['unfriendly', 'complaint', 'customer', 'customers', 'rude', 'impolite', 'arrogant', 'checkout', 'employee', 'service']"
78,507,True,2020,"For an adidas store, the variety of shoes on offer is somehow not great. It's actually a shame, these days people seem to just follow the trend of the masses.",Berlin Store Originals,adidas,,negative,0.8511192798614502,-1,2,Adidas Store Selection & Pricing,"['Small and not necessary for an overview of the Adidas range. The competence of the staff is left to the luck of the hit.', 'Unfortunately, most of the bargains that were still available “back then” are history - the selection overall is rather poor. The “Boosts” running shoes, which are currently extremely popular, are available in 328 different designs and …', ""For an adidas store, the variety of shoes on offer is somehow not great. It's actually a shame, these days people seem to just follow the trend of the masses."", ""First of all, Adidas Neo hasn't been here for two years now.\nSecondly, the assortment is poor. Wasted time."", 'If you buy in originals branch you cannot replace at normal adidas, so basically same brand has in the next address different shop . Not very efficient for all costumers  i would say', 'Rather uninterested sellers, hardly any shoes in larger sizes in stock. I expected more from an adidas store.', 'Finally an Adidas store with a sale again ☀️😎\nUnfortunately they have become rare; there are no more in Cologne. …', 'Unfortunately there is little selection in the store, which is really disappointing.\nThe big plus, however, is Click & Collect via the Adidas website.', ""You have to be lucky to find the right one for you at a great price. Given that this is Adidas' home, it's rather disappointing. Discontinued products at prices that are cheaper elsewhere. You won't find any new things here. Adidas doesn't …"", ""I've been to the Adidas outlet in Herzogenaurach several times, but so far I've never found anything for me. The prices are high. You can sometimes get the Adidas stuff elsewhere. Lots of choice if you're looking for something urgently""]","['adidas', 'retailers', 'clothing', 'shoes', 'outlet', 'brand', 'used', 'store', 'sizes', 'looks']"
103,473,True,2020,There are bigger Adidas stores with more and better selection...music was quite loud.,Berlin Store Originals,adidas,,negative,0.667845606803894,-1,6,Adidas & Reebok Outlet Shopping Experience,"['What a store experience! Really fascinated by the sustainable efforts adidas put into this store! A must if you are in munich', 'The largest Adidas Outlet in Europe, with truly discounted prices.', ""if you like adidas sportswear - that's one of the hotspots you must have"", ""This is a large two-story Adidas outlet. Here you will find men's, women's and children's clothes and shoes. Sizes may be taken over. The prices on the tags are not the most advantageous, but it is possible that some discounts are still …"", 'Anyone who loves Adidas will definitely find something here. Prices are okay. Not always a bargain, but often things that you can no longer find in the store.', 'There is a very large selection of everything from Adidas and Reebok. The prices are very cheap.', ""Huge selection of Adidas and Reebok sports and leisure clothing at reduced prices. A bit confusing due to the huge selection, but you can find everything in the range. If you're looking, you'll also find really heavily discounted bargains!"", 'The adidas outlet store is large and offers a variety of discounted offers. Here you can get sports equipment quickly and cheaply, but you should critically question some offers with your cell phone in your hand!', 'I have been going to the Adidas and Reebok outlets regularly for years.\nBoth stores have a large selection to suit every taste.\nThe prices are definitely cheaper than the regular store in town. …', 'Always an experience. It was a bit irritating that you had to wait in line, but as always it was worth a visit. Where else can you get Adidas footballs for 5 pieces?']","['adidas', 'reebok', 'stores', 'reebokfun', 'shoes', 'clothing', 'jerseys', 'spacious', 'discounted', 'store']"
106,655,True,2020,"First of all, Adidas Neo hasn't been here for two years now.
Secondly, the assortment is poor. Wasted time.",Berlin Store Originals,adidas,,negative,0.8551537990570068,-1,2,Adidas Store Selection & Pricing,"['Small and not necessary for an overview of the Adidas range. The competence of the staff is left to the luck of the hit.', 'Unfortunately, most of the bargains that were still available “back then” are history - the selection overall is rather poor. The “Boosts” running shoes, which are currently extremely popular, are available in 328 different designs and …', ""For an adidas store, the variety of shoes on offer is somehow not great. It's actually a shame, these days people seem to just follow the trend of the masses."", ""First of all, Adidas Neo hasn't been here for two years now.\nSecondly, the assortment is poor. Wasted time."", 'If you buy in originals branch you cannot replace at normal adidas, so basically same brand has in the next address different shop . Not very efficient for all costumers  i would say', 'Rather uninterested sellers, hardly any shoes in larger sizes in stock. I expected more from an adidas store.', 'Finally an Adidas store with a sale again ☀️😎\nUnfortunately they have become rare; there are no more in Cologne. …', 'Unfortunately there is little selection in the store, which is really disappointing.\nThe big plus, however, is Click & Collect via the Adidas website.', ""You have to be lucky to find the right one for you at a great price. Given that this is Adidas' home, it's rather disappointing. Discontinued products at prices that are cheaper elsewhere. You won't find any new things here. Adidas doesn't …"", ""I've been to the Adidas outlet in Herzogenaurach several times, but so far I've never found anything for me. The prices are high. You can sometimes get the Adidas stuff elsewhere. Lots of choice if you're looking for something urgently""]","['adidas', 'retailers', 'clothing', 'shoes', 'outlet', 'brand', 'used', 'store', 'sizes', 'looks']"
118,537,False,2021,Small store - very empty thanks to Corona,Berlin Store Originals,adidas,,negative,0.4126144647598266,-1,7,Corona-Related Store Restrictions & Queuing,"['Due to Corona, only 120 people are allowed in the store at the same time; so you have to wait in line to get in. When you ask, you\'ll find out inside that all changing rooms are closed ""for hygiene reasons"". …', 'Hello,\nWe were at the outlet again at the beginning of September. Due to the Corona restrictions that are still in effect, we had to wait in line. …', 'Stand in the queue. Normal under Corona. But still have to shrink a bit because the size selection was insufficient.', 'The queue is tough, with a mask only ffp2-3', ""We were there on a Saturday due to travel. Because of Corona, they only let a certain number in there. We waited about 1 hour. I think things look different during the week. For me personally, I haven't been that successful when it comes to …"", ""We waited 2 hours and other people came in with appointments straight away. It's not normal to go to the store with an appointment. Why do 100 people wait when others come and just walk in."", ""Due to Corona's scaremongering, which I don't support, there are crowds of people queuing here when it rains! After a long journey, we turned around again without even getting out of the car! Nothing against the outlets but that's pure …"", ""Long queue in front of the entrance (thanks Corona).\nOften you can't really find anything great."", 'Not recommended in Corona times', 'This year unfortunately we only drove past, the queue at the entrance was too long for us. A. from Corona and the 32 degrees 🙈 …']","['corona', 'queuing', 'waited', 'queue', 'waiting', 'wait', 'entrance', 'closed', 'restrictions', 'weekday']"
29,173,False,2017,"Rude ass worker, shity cutomer service.
he asked me: Hast du frage oder was ?
and i had already asked his co-worker that i had an item reserved there and she …",Berlin Store Originals,adidas,,negative,0.7682449817657471,-1,0,Unfriendly Service Experiences,"['Great place, friendly staff, rating is because the staff behind the cafe counter are so grumpy and lack any sort of emotion, it’s like they are forced to be there.  You are in a customer facing role if you don’t like seeing customers maybe you need a different role.  This is not the first time !', 'Not recommended, unfriendly staff no time to answer questions.', 'Arrogant staff, very unfriendly and not interested in the customer. Never seen something like that before...', ""Very unfriendly staff just walk around and care more about themselves than about the guests. Starts with greeting very unfriendly the security guard very aggressive immediately gets a pulse and becomes very personal and private sorry that's …"", 'The service was once very condescending... Not very customer friendly.', 'No hello, no thank you, no please. Instead, arrogant and unmotivated employees. Never again!', 'Rude to the point of not being possible anymore!', 'Really bad service and very disrespectful staff', 'What a bad store....Rude staff etc. Never again', ""Really, really unfriendly employee! You don't feel like going in there anymore. Doesn't work at all.""]","['unfriendly', 'complaint', 'customer', 'customers', 'rude', 'impolite', 'arrogant', 'checkout', 'employee', 'service']"
30,366,False,2020,"Called in this week on a day when, by coincidence, there was an in-store party where cake and booze was being served for some reason. Unfortunately on the way out some goon with a beard manning the exit demanded that he search my bag, which …",Berlin Store Originals,adidas,,negative,0.5438749194145203,-1,0,Unfriendly Service Experiences,"['Great place, friendly staff, rating is because the staff behind the cafe counter are so grumpy and lack any sort of emotion, it’s like they are forced to be there.  You are in a customer facing role if you don’t like seeing customers maybe you need a different role.  This is not the first time !', 'Not recommended, unfriendly staff no time to answer questions.', 'Arrogant staff, very unfriendly and not interested in the customer. Never seen something like that before...', ""Very unfriendly staff just walk around and care more about themselves than about the guests. Starts with greeting very unfriendly the security guard very aggressive immediately gets a pulse and becomes very personal and private sorry that's …"", 'The service was once very condescending... Not very customer friendly.', 'No hello, no thank you, no please. Instead, arrogant and unmotivated employees. Never again!', 'Rude to the point of not being possible anymore!', 'Really bad service and very disrespectful staff', 'What a bad store....Rude staff etc. Never again', ""Really, really unfriendly employee! You don't feel like going in there anymore. Doesn't work at all.""]","['unfriendly', 'complaint', 'customer', 'customers', 'rude', 'impolite', 'arrogant', 'checkout', 'employee', 'service']"
