unique_id,customer_id,local_guide,date_year,text,store_name,company_name,text_response,label_name,confidence_score,label_id,topic,title,repr_docs,keywords
4,336,False,2023,The person on a cash register didn’t answer my question and decided to say that the sneakers are not according to his assumption of my gender. …,Berlin Store Originals,adidas,,neutral,0.4662367403507232,0,2,Inadequate Shoe Selection & Purchase Assistance,"['Unfortunately there is only a limited selection of basketball shoes, but you can order online and store them in the shop and also pay directly on site.', 'No help with the purchase and no selection, you go to the manufacturer just to see a few shoes in your size, but they are too narrow', ""I wanted to purchase shoes for my son, they didn't have it in store so they have helped me ordering them online and they made sure that I will receive them to my hotel. …"", 'I visited the store today and asked an Asian male employee about shoes in stock, but he answered ""no"" without looking at the shoes I asked and did not look for them in stock. So, just in case, I asked another employee about the shoe …', ""Didn't have multiple types of shoes in my size. Seemed like they didn't really want to go in the back to check for size."", 'Cool shop and shoes. Unfortunately, the employee had no idea how to carry out the running analysis correctly', 'Unfortunately no çabuk sikici pantolon in my size', 'Purchased item not as described. No support', 'Very limited selection of shoes #48 (2 models) Also the store opposite does not have this size, no matter what new model it is, this is unacceptable for this store size and location. We drove 200 km to the outlet where there are two sneaker …', 'Not at all a good experience for people who need bigger size shoes. No selection at all in that category']","['shoes', 'sneaker', 'sneakers', 'ordering', 'narrow', 'size', 'clothing', 'sizes', 'worn', 'order']"
5,37,True,2022,"I wanted to purchase shoes for my son, they didn't have it in store so they have helped me ordering them online and they made sure that I will receive them to my hotel. …",Berlin Store Originals,adidas,,neutral,0.3715580403804779,0,2,Inadequate Shoe Selection & Purchase Assistance,"['Unfortunately there is only a limited selection of basketball shoes, but you can order online and store them in the shop and also pay directly on site.', 'No help with the purchase and no selection, you go to the manufacturer just to see a few shoes in your size, but they are too narrow', ""I wanted to purchase shoes for my son, they didn't have it in store so they have helped me ordering them online and they made sure that I will receive them to my hotel. …"", 'I visited the store today and asked an Asian male employee about shoes in stock, but he answered ""no"" without looking at the shoes I asked and did not look for them in stock. So, just in case, I asked another employee about the shoe …', ""Didn't have multiple types of shoes in my size. Seemed like they didn't really want to go in the back to check for size."", 'Cool shop and shoes. Unfortunately, the employee had no idea how to carry out the running analysis correctly', 'Unfortunately no çabuk sikici pantolon in my size', 'Purchased item not as described. No support', 'Very limited selection of shoes #48 (2 models) Also the store opposite does not have this size, no matter what new model it is, this is unacceptable for this store size and location. We drove 200 km to the outlet where there are two sneaker …', 'Not at all a good experience for people who need bigger size shoes. No selection at all in that category']","['shoes', 'sneaker', 'sneakers', 'ordering', 'narrow', 'size', 'clothing', 'sizes', 'worn', 'order']"
25,14,False,2019,Not so expensive for original shoes,Berlin Store Originals,adidas,,neutral,0.4335259199142456,0,1,Inadequate Adidas Store Experience & Limited Selection,"[""Only basic goods in the store that aren't even that great. JD has better and cooler clothes from Adidas in the store than the Adidas store itself 🤷🏻\u200d♂️ …"", 'There is nothing special for an Adidas store. Little to hardly any selection.', ""I went there expecting to find an authentic adidas shop, but the store was small and there weren't many products. I ended up not buying anything."", 'Adidas nothing to say', 'It’s not a real Adidas store.', ""No plan... It's just an Adidas store"", ""Nike store was fresh dynamic and full of life. Unfortunately you can't say anything about Adidas here. A pity."", 'For an official Adidas store in Berlin, a rather small selection of the current collections. In fact, I would rather order from adidas.de than go to the store.', ""Enormous Adidas store, I wouldn't call it outlet since no differences at prices"", 'This is a corporate store of the Adidas brand. Even after Christmas, there were no discounts that would dazzle anyone. The selection here is quite small. Parking is available for free in front of the building, but it was quite full.']","['adidas', 'stores', 'nike', 'shoes', 'store', 'discounts', 'bargains', 'goods', 'puma', 'outlet']"
43,387,True,2024,Far too little selection for Flagstore,Berlin Store Originals,adidas,,neutral,0.3641910552978515,0,0,Limited Children's Selection,"['Not too much of a selection', 'There are not many options for children between three and five years old', 'Very small, little choice', 'Not that big of a selection', 'Quite okay but not the largest selection either.\nWas disappointed.', 'Great selection, but unfortunately a little small for small babies! There was almost nothing Gr 92! 😪 …', ""Despite the size, the selection wasn't that exciting... Especially no classics..."", ""I didn't buy because the selection is very small"", 'Not particularly selection. I expected several offers and a larger selection.', 'Not as much choice as expected']","['variety', 'assortment', 'small', 'choice', 'selection', 'limited', 'options', 'collection', 'lots', 'disappointed']"
101,598,True,2023,The shop was too small,Berlin Store Originals,adidas,,neutral,0.3611655235290527,0,3,Store Experience & Limited Selection,"[""I didn't find any real bargains there"", 'Not everything always fits. But just visiting is an experience.', 'Listed as the flagship store but is only one level with limited selection. The gear that is in store is higher end but overall not impressed.', 'So much time waiting for the new shop, then nothing..', 'Not the biggest store but it was okay', 'In the center of Berlin, such a poorly stocked store should not have what is in the store is of good quality, but there is not a large selection.', 'Not too much variety. The shopping environment is comfortable.', 'The shop is too small', 'There are no discounts', 'Nice and nothing more. Despite the luxury, the chairs are not particularly comfortable and it is difficult to sit on them for a long time, the number of disabled parking spaces is not large.']","['stores', 'bargains', 'discounts', 'bargain', 'checkout', 'store', 'shop', 'mediocre', 'variety', 'small']"
126,208,True,2019,Addidas shoes store nothing special,Berlin Store Originals,adidas,,neutral,0.4665180742740631,0,1,Inadequate Adidas Store Experience & Limited Selection,"[""Only basic goods in the store that aren't even that great. JD has better and cooler clothes from Adidas in the store than the Adidas store itself 🤷🏻\u200d♂️ …"", 'There is nothing special for an Adidas store. Little to hardly any selection.', ""I went there expecting to find an authentic adidas shop, but the store was small and there weren't many products. I ended up not buying anything."", 'Adidas nothing to say', 'It’s not a real Adidas store.', ""No plan... It's just an Adidas store"", ""Nike store was fresh dynamic and full of life. Unfortunately you can't say anything about Adidas here. A pity."", 'For an official Adidas store in Berlin, a rather small selection of the current collections. In fact, I would rather order from adidas.de than go to the store.', ""Enormous Adidas store, I wouldn't call it outlet since no differences at prices"", 'This is a corporate store of the Adidas brand. Even after Christmas, there were no discounts that would dazzle anyone. The selection here is quite small. Parking is available for free in front of the building, but it was quite full.']","['adidas', 'stores', 'nike', 'shoes', 'store', 'discounts', 'bargains', 'goods', 'puma', 'outlet']"
1,486,False,2023,"I visited the store today and asked an Asian male employee about shoes in stock, but he answered ""no"" without looking at the shoes I asked and did not look for them in stock. So, just in case, I asked another employee about the shoe …",Berlin Store Originals,adidas,,neutral,0.4692484438419342,0,2,Inadequate Shoe Selection & Purchase Assistance,"['Unfortunately there is only a limited selection of basketball shoes, but you can order online and store them in the shop and also pay directly on site.', 'No help with the purchase and no selection, you go to the manufacturer just to see a few shoes in your size, but they are too narrow', ""I wanted to purchase shoes for my son, they didn't have it in store so they have helped me ordering them online and they made sure that I will receive them to my hotel. …"", 'I visited the store today and asked an Asian male employee about shoes in stock, but he answered ""no"" without looking at the shoes I asked and did not look for them in stock. So, just in case, I asked another employee about the shoe …', ""Didn't have multiple types of shoes in my size. Seemed like they didn't really want to go in the back to check for size."", 'Cool shop and shoes. Unfortunately, the employee had no idea how to carry out the running analysis correctly', 'Unfortunately no çabuk sikici pantolon in my size', 'Purchased item not as described. No support', 'Very limited selection of shoes #48 (2 models) Also the store opposite does not have this size, no matter what new model it is, this is unacceptable for this store size and location. We drove 200 km to the outlet where there are two sneaker …', 'Not at all a good experience for people who need bigger size shoes. No selection at all in that category']","['shoes', 'sneaker', 'sneakers', 'ordering', 'narrow', 'size', 'clothing', 'sizes', 'worn', 'order']"
18,232,True,2023,Listed as the flagship store but is only one level with limited selection. The gear that is in store is higher end but overall not impressed.,Berlin Store Originals,adidas,,neutral,0.5569618940353394,0,3,Store Experience & Limited Selection,"[""I didn't find any real bargains there"", 'Not everything always fits. But just visiting is an experience.', 'Listed as the flagship store but is only one level with limited selection. The gear that is in store is higher end but overall not impressed.', 'So much time waiting for the new shop, then nothing..', 'Not the biggest store but it was okay', 'In the center of Berlin, such a poorly stocked store should not have what is in the store is of good quality, but there is not a large selection.', 'Not too much variety. The shopping environment is comfortable.', 'The shop is too small', 'There are no discounts', 'Nice and nothing more. Despite the luxury, the chairs are not particularly comfortable and it is difficult to sit on them for a long time, the number of disabled parking spaces is not large.']","['stores', 'bargains', 'discounts', 'bargain', 'checkout', 'store', 'shop', 'mediocre', 'variety', 'small']"
48,422,True,2018,Didn't have multiple types of shoes in my size. Seemed like they didn't really want to go in the back to check for size.,Berlin Store Originals,adidas,,neutral,0.4415944218635559,0,2,Inadequate Shoe Selection & Purchase Assistance,"['Unfortunately there is only a limited selection of basketball shoes, but you can order online and store them in the shop and also pay directly on site.', 'No help with the purchase and no selection, you go to the manufacturer just to see a few shoes in your size, but they are too narrow', ""I wanted to purchase shoes for my son, they didn't have it in store so they have helped me ordering them online and they made sure that I will receive them to my hotel. …"", 'I visited the store today and asked an Asian male employee about shoes in stock, but he answered ""no"" without looking at the shoes I asked and did not look for them in stock. So, just in case, I asked another employee about the shoe …', ""Didn't have multiple types of shoes in my size. Seemed like they didn't really want to go in the back to check for size."", 'Cool shop and shoes. Unfortunately, the employee had no idea how to carry out the running analysis correctly', 'Unfortunately no çabuk sikici pantolon in my size', 'Purchased item not as described. No support', 'Very limited selection of shoes #48 (2 models) Also the store opposite does not have this size, no matter what new model it is, this is unacceptable for this store size and location. We drove 200 km to the outlet where there are two sneaker …', 'Not at all a good experience for people who need bigger size shoes. No selection at all in that category']","['shoes', 'sneaker', 'sneakers', 'ordering', 'narrow', 'size', 'clothing', 'sizes', 'worn', 'order']"
79,154,True,2021,"So much time waiting for the new shop, then nothing..",Berlin Store Originals,adidas,,neutral,0.6374142169952393,0,3,Store Experience & Limited Selection,"[""I didn't find any real bargains there"", 'Not everything always fits. But just visiting is an experience.', 'Listed as the flagship store but is only one level with limited selection. The gear that is in store is higher end but overall not impressed.', 'So much time waiting for the new shop, then nothing..', 'Not the biggest store but it was okay', 'In the center of Berlin, such a poorly stocked store should not have what is in the store is of good quality, but there is not a large selection.', 'Not too much variety. The shopping environment is comfortable.', 'The shop is too small', 'There are no discounts', 'Nice and nothing more. Despite the luxury, the chairs are not particularly comfortable and it is difficult to sit on them for a long time, the number of disabled parking spaces is not large.']","['stores', 'bargains', 'discounts', 'bargain', 'checkout', 'store', 'shop', 'mediocre', 'variety', 'small']"
